UniqueCount	AmbigCount
427	0
158	0
8697	0
3048	0
535	0
87	0
387	0
243	0
2939	0
114	0
4162	0
6445	0
959	0
44	0
4810	0
112	0
6799	0
1080	0
1478	0
270	0
11	84
65	0
100	0
580	0
1211	0
48	0
10588	0
961	0
2879	0
781	0
1004	0
722	0
950	0
450	0
10437	0
1370	0
10	0
399	0
3028	0
2499	0
87644	0
1444	0
1643	0
2357	0
910	0
1006	0
2584	0
745	0
1978	0
2668	0
69902	11
0	11
2816	0
2744	0
413	0
648	0
2440	0
820	0
422	0
3243	0
3119	0
20	0
118	0
120	0
771	0
4543	0
2082	0
1493	0
628	0
91	0
72	0
3881	0
2498	0
1196	0
639	0
1647	0
1276	0
58	13
670	0
188	0
0	0
284	0
741	0
1984	0
37766	0
2666	3330
2366	0
1857	0
3373	0
11943	0
3110	0
27	176
393	0
0	0
1958	319
64	26
405	15
1194	0
11193	0
315	0
1223	0
643	0
287	0
122	0
2681	0
110	0
3937	0
1967	0
28	0
3038	0
72	0
27987	0
8	0
308	0
5912	0
399	0
0	3
63	0
1	0
4590	0
2967	0
3164	0
10089	0
2214	0
1351	0
3502	0
3488	0
1167	0
767	0
946	0
1458	0
831	0
3416	0
2356	0
65292	0
3251	0
572	0
9778	0
1932	0
592	0
3346	0
326	0
119	0
477	0
1034	0
224	0
1	38
15	8
1344	0
1890	0
7	76
2675	0
0	1069
0	2485
109	1126
1333	0
1483	0
847	0
4245	0
1420	0
2179	55
1632	0
489	0
1012	0
0	17
1	0
0	0
2	0
0	0
0	0
0	0
0	0
10	0
0	0
0	0
0	0
0	0
7	0
1069	0
14522	0
5190	0
757	0
541	0
2	0
1549	0
909	0
2970	0
2371	0
17	0
1085	0
3278	0
37	0
112	0
19	0
2329	0
872	0
249	0
1205	0
6763	0
1837	0
24	0
854	0
0	1
1116	0
0	28
1313	0
4711	0
40	0
1698	0
3324	0
163	321
4543	0
4616	0
132	0
29	0
1	0
0	0
1466	0
10	0
8	0
2429	0
6003	0
10782	0
1288	0
1630	0
1354	0
13	0
1348	0
917	0
1675	0
1096	0
6	0
3	0
2	0
9	0
2090	0
19196	1
613	0
1306	0
866	0
897	0
3825	2
23	0
2002	0
2593	0
425	0
1080	0
517	0
3617	0
1395	0
2596	0
12	0
47	0
858	0
695	0
1269	0
872	0
1669	0
559	0
33	0
1629	0
571	0
227	0
729	0
32	0
16	6
283	0
109	0
732	0
994	0
14	0
17	0
823	0
893	0
3610	0
1858	0
10028	0
3276	0
217	0
925	0
1171	0
1344	0
774	0
2751	0
2098	0
38	0
15	0
357	0
0	0
1262	0
54	328
0	2363
1935	0
1215	18
1706	0
8925	0
3165	0
154	0
1780	0
10868	0
1167	0
1141	0
289	0
9	0
6	0
87	0
1803	0
3080	0
1233	0
1390	0
920	0
3920	0
1231	0
322	0
327	0
0	2
374	0
1821	0
2066	0
485	0
735	0
0	3
694	0
1358	0
1658	0
3644	0
1303	0
10158	0
2531	0
979	0
5791	0
80	352
305	0
75	0
11	0
1705	0
2005	0
438	0
181645	0
0	26
1114	0
777	0
79	0
2125	47
97	0
403	0
1080	0
2052	0
19294	0
572	0
3079	0
3	0
927	119
437	0
1683	0
277	0
5882	0
2691	0
643	0
657	0
5	0
216	0
10	772
0	0
107	35
11	11
0	21
9	11
6	1
0	4
0	0
107	27
29	23
26	0
1	4
3	21
2	7
0	5
27	0
16	0
0	0
3387	0
1	20
513	0
620	0
2954	0
2	6
1737	0
2169	306
213	0
2228	0
1609	0
1523	0
271	0
1905	0
0	18
1771	0
2	0
4698	0
2708	0
503	0
1261	0
0	0
169	0
26	0
78	3
2425	0
17	2
847	0
4	226
39148	0
104987	0
643	0
893	0
0	332
4874	0
2766	0
1862	0
0	0
786	0
7	0
1391	0
5291	0
6280	0
2860	0
311	0
1181	0
4072	0
835	0
105	0
7	0
68	0
3	0
1498	0
0	0
2	28
1663	0
110	0
2	0
47	0
942	0
1246	0
4	0
0	0
0	0
1055	0
1175	0
9308	0
5688	0
2848	0
1024	0
2	0
2088	0
4525	0
46	0
21353	0
193	0
3294	0
444	0
27	0
0	0
5040	0
1666	0
68	0
1482	0
192	0
3670	0
40	0
491	0
4	5
70	0
1	0
6209	0
564	0
879	5
176	0
265	5
791	0
701	0
841	428
5356	230
2867	0
7925	0
2712	0
1081	0
1014	0
7	0
0	4
11	0
8	0
1055	444
2771	0
9	0
401	0
536	0
686	0
1235	0
3015	0
675	0
2885	0
1998	0
2262	0
1769	0
0	0
812	0
708	0
8254	0
135	0
7702	0
60458	0
2988	0
834	0
1883	0
6	0
1111	0
2959	0
1535	0
162	0
17	0
11	123
1133	0
8	0
105	0
858	0
3214	0
3580	0
231	0
262	0
0	0
0	0
1137	0
382	0
228	0
583	0
1048	0
0	439
8	178
0	439
3066	0
4185	0
1391	0
1335	0
7	0
170	0
427	0
495	0
4117	0
0	36
3126	603
159	0
1519	0
763	0
1330	0
1150	0
313	0
27276	19
6	0
1999	0
6	0
1596	0
40	0
26	0
2370	0
1377	0
825	0
4660	0
335	0
54	0
7	2
0	0
2080	0
181	0
726	0
45	0
1824	0
15	0
61	0
15304	0
313	0
5	0
1474	0
1514	0
453	0
3229	0
2876	0
9	0
11	0
3649	0
9	0
0	0
13218	0
2182	0
4825	0
5	0
52	0
8	0
224	15
8	0
14	0
994	15
3655	0
1666	0
561	0
61	0
83	0
3	0
152	0
4002	0
47	0
1415	0
2479	0
2404	0
2238	0
1461	0
2739	0
3339	0
1	0
4	0
353	0
3	0
63543	0
3349	0
3215	0
1480	0
3484	0
2	0
3880	0
56	0
8585	0
497	0
0	21
2072	0
446	0
1143	0
1836	0
79	0
57	0
389	0
765	0
2187	0
31	0
456	0
27	0
237	0
1303	0
630	0
3482	0
1742	0
2814	0
1005	0
845	0
4728	0
1716	0
639	0
2513	0
7426	0
16	0
9104	0
2179	0
115	0
330	0
4855	0
401	0
3	0
160	0
55	0
650	0
1121	0
789	0
3346	0
3964	0
1324	0
1628	0
17980	0
2311	0
9156	947
9775	947
1236	0
2086	0
4785	0
131748	0
35	0
137	12
842	0
8526	0
1559	0
174	0
8	277
2633	0
2341	0
0	57
2363	0
8232	0
12026	0
1971	0
912	0
561	0
782	0
708	0
1928	0
948	0
1882	0
1974	0
457	0
2012	0
342	0
601	40
652	40
645	0
283	0
2281	1
1217	1
1152	0
1333	0
677	0
2669	0
2341	0
2	11
406	0
16	0
1303	0
876	0
1087	0
55	0
2356	0
813	0
1160	0
3838	0
38	0
929	0
110	0
2345	0
5719	0
1317	0
71	0
1861	344
0	15
1971	0
1	0
1	0
741	0
317	747
1357	0
1594	0
876	0
68	0
5420	0
11	171
1737	0
3260	0
4415	0
256	0
7205	0
871	0
521	0
1806	0
5759	0
893	0
1532	0
3450	0
2522	0
253	0
5	0
47	0
15	0
515	0
15	0
3	0
40	0
1595	0
575	0
4317	0
5220	0
6674	0
884	0
75620	0
1923	1
5	0
463	0
1672	0
6653	0
1920	70
214	70
43	1
2106	0
58	0
4558	0
665	0
630	0
1325	0
0	0
1811	0
292	0
957	0
585	0
968	0
1	0
10712	19006
189	0
567	27
928	0
461	0
2772	0
7539	0
0	0
1296	2
1376	0
3111	289
2497	0
807	0
1618	0
790	0
2155	0
1082	0
1227	0
811	0
6099	0
399	0
129	0
27	0
856	0
847	0
404	3
137	3
833	0
2733	0
4154	2285
244	0
662	0
825	0
1969	0
1628	0
1813	0
16	0
1308	0
3	0
3921	0
28	0
15	0
4843	0
3498	0
29	0
120	0
644	0
278	0
1991	0
44	0
4949	0
3514	0
4518	0
103	0
98	0
0	376
1661	376
3128	0
20	0
547	0
326	0
29	0
1	0
260	0
1346	0
4913	1
115	0
8	0
1071	0
458	617
229	0
241	0
1	12
81	0
18137	0
2977	0
0	1147
730	697
366	0
1674	0
2232	0
4713	0
2291	0
19	0
4599	0
405	0
177	0
1141	0
2308	0
12801	0
8284	0
1138	242
267	555
1307	127
589	0
1955	0
709	0
0	0
9	0
18	0
1	0
1	0
166	0
296	0
5749	0
1	0
0	0
12590	0
721	0
1667	0
0	0
15	4
0	11
3715	0
1	0
8026	7
10	0
1515	0
1322	0
183	0
2278	0
2016	0
6144	0
419	0
1	0
30	0
5	0
21	0
51	0
1180	0
6	0
13	0
18	0
6	0
292	0
3048	0
96	0
508	0
705	0
1316	0
3698	0
199	0
2269	0
1488	2264
82	442
0	2959
704	2959
2440	0
6	0
1	0
9	0
1818	0
289	0
16	0
314	0
1226	0
2247	0
648	0
6	0
20	0
3918	0
120	4
91	0
60	0
103	0
6433	0
1260	0
589	0
48015	140611
253	0
1286	0
290	0
693	0
1682	0
1128	0
3308	0
661	0
5602	0
1474	0
7778	1417
0	18
75	2
9386	1219
8664	0
2414	0
1225	0
2822	0
1621	0
615	0
565	0
324	0
24488	0
1473	0
1907	0
605	0
673	0
0	0
427	0
1458	0
4739	0
4309	0
0	0
5	0
2919	0
200	0
2553	0
1035	0
1036	0
5412	0
3590	0
2351	0
1472	0
1131	0
2519	0
72346	0
289	0
2438	0
402	0
305	0
2307	0
0	0
959	0
1960	0
1319	0
975	0
110	0
1015	0
0	0
713	0
4	0
990	0
2804	0
151	0
1580	1377
3010	0
564	0
301	0
1	7
297	0
454	0
115	0
7	0
846	0
0	0
20	0
1712	2690
760	0
2734	0
598	0
567	0
51	0
229	0
16	0
14	3
5	0
1837	0
3509	0
1263	0
773	0
464	0
103	0
815	0
12	0
39	0
7870	0
2096	0
770	0
1893	61
35	0
373	0
15078	0
2201	0
11	0
0	0
0	0
8	0
3	0
5	0
1988	0
98	0
5572	0
385	0
5845	0
2793	723
502	754
3580	0
745	0
8939	0
1080	0
2416	0
1201	0
1111	0
283	0
9	0
1008	0
461	0
0	0
0	0
73	0
0	0
4	0
2262	0
10225	0
2	0
2	0
0	0
57	0
69	0
114	0
19	0
34	0
429	0
21	0
2081	0
237	0
13	0
4499	0
666	0
850	0
3427	0
877	0
1508	0
1535	0
9058	0
8	0
297	1
2188	0
5180	0
2241	0
13059	0
350	0
4186	0
1234	0
421	0
3626	0
2531	0
66	0
395	0
27	0
21	0
36	0
3477	0
1907	0
4471	0
66	0
3785	0
6261	0
883	0
10002	0
1581	0
157	0
7664	0
1331	0
1886	0
804	0
173	0
0	0
27	0
3	0
1	0
15	0
2040	0
2215	0
88	0
301	0
4	0
256	28
2679	0
2501	0
3186	0
2944	0
2422	0
364	0
1580	0
19240	0
1212	0
2702	0
106	0
5272	0
955	0
3202	0
2277	0
152	0
43	0
4558	0
881	0
3390	0
1585	0
2576	0
389	0
11	0
4	0
2043	0
2105	0
3397	0
570	0
1527	0
2126	0
4	49
849	0
316	7
528	0
4370	0
501	0
436	0
277	0
301	0
1504	0
71505	0
616	1223
653	144
705	1223
515	144
9947	0
1045	0
98	0
5571	0
2636	0
3197	0
835	0
4603	0
0	0
0	0
0	0
121	0
0	0
140	0
90	0
1	0
1038	0
71	0
1615	0
15487	0
276	0
4036	0
1845	0
145	0
2978	0
2702	0
2	0
3	0
1	0
37	0
530	0
1166	0
267	67
104	0
3	0
7	0
6	0
338	0
307	0
1990	0
4731	0
3559	0
3963	0
2648	0
1901	0
10958	0
220	0
6405	0
3219	0
604	0
3171	0
5396	0
6412	0
2	0
0	0
1	0
31	0
271	0
272	0
992	2952
22	0
5393	0
4	1
113	0
1044	0
808	0
2310	0
1467	0
13081	0
926	0
541	0
59	0
139	0
129	0
39	0
92	0
2777	0
7	0
1920	0
439	0
755	0
2155	0
3711	0
2755	0
1852	0
1982	0
2631	0
216	0
1895	0
889	0
678	0
3919	0
3007	0
838	0
170356	0
0	0
168	0
9	0
16	0
1235	0
0	0
152	0
1	0
0	6
751	0
7260	0
1000	0
7839	0
199	0
56	0
23	0
8	2
3	18
69	0
0	0
1952	0
65	10
5182	0
129	0
636	0
1348	0
13	0
3620	0
19	0
24	0
1678	0
5896	0
4110	0
19466	0
0	2
24485	0
43	0
312	0
6	0
223	0
1364	0
64	0
350	0
25	0
3847	0
184	0
2579	0
1425	0
1564	0
1430	0
8657	0
8	0
0	0
0	0
61	0
49	0
14	2
3	0
424	0
91	0
1356	0
41	0
22	0
1	41
0	10
29	0
171	0
3096	0
8887	0
1	0
197	614
246	0
4007	0
4769	0
1332	0
2799	0
1067	0
2256	0
2097	0
2732	0
576	0
6001	0
2324	0
1762	0
523	0
2861	0
1702	0
3199	0
2036	0
10593	0
67	0
6418	0
0	0
77425	0
29	0
1354	0
5525	0
541	0
1603	0
337	0
2152	0
823	0
221	0
10480	0
2332	0
2997	0
380	0
1566	0
740	0
2032	0
4110	0
3039	0
699	0
97	0
1328	0
2209	0
8949	0
188	0
2101	0
2577	0
23	0
874	0
1110	0
411	0
948	0
1992	0
1001	0
271	0
2554	0
279	0
4471	0
1042	0
1680	1175
318	0
90	0
2584	0
406	0
1494	0
2150	0
83	0
184	0
2847	0
6249	0
593	0
564	0
765	0
38407	0
0	18
2396	0
31	0
3	0
311	0
2493	0
185	0
2	0
1665	0
258	0
1144	0
2795	0
2949	0
301	0
390	0
903	0
2692	0
332	0
1207	0
240	0
1251	0
3601	0
1433	0
1186	0
3350	0
539	0
239	0
773	0
710	0
1107	0
1529	0
8601	0
17157	563
1810	0
38	0
16	0
45	0
2784	0
1535	0
2532	0
3461	0
470	0
172	0
812	0
1557	0
9259	0
1111	0
2169	0
937	0
3520	0
2384	0
3385	0
595	0
3883	0
819	0
421	0
327	0
748	233
0	233
3267	0
1813	0
1709	0
1214	0
7094	0
1427	0
741	0
972	0
487	614
93	0
28	0
2716	0
375	0
337	0
2570	0
307	0
2	0
5	0
0	9
4169	0
2	0
1442	0
4363	0
1353	0
3157	0
5389	0
6065	0
1387	396
4897	0
7292	0
3468	0
2783	0
982	0
802	0
2326	0
1358	0
3657	0
2566	0
12456	0
3595	0
0	80
129	0
1484	10161
2646	0
9012	0
3	0
99	0
19	0
412	0
2080	0
2632	0
1326	0
2131	2294
1	0
47866	0
65	0
513	2404
0	498
0	368
1158	0
1764	0
623	834
1	1872
373	0
325	7319
2682	0
0	980
7643	0
1725	0
103	0
807	0
16931	0
58	0
815	0
