UniqueCount	AmbigCount
218	0
66	0
1770	0
550	0
217	0
65	0
277	0
63	0
951	0
123	0
383	0
1354	0
224	0
23	0
1902	0
16	0
982	0
334	0
545	0
62	0
8	29
4	0
67	0
143	0
307	0
37	0
3955	0
162	0
640	0
144	0
143	0
291	0
315	0
191	0
2314	0
212	0
10	0
84	0
362	0
639	0
26192	0
244	0
311	0
605	0
148	0
309	0
870	0
263	0
442	0
639	0
22840	2
0	2
391	0
493	0
64	0
11	0
558	0
228	0
70	0
584	0
430	0
21	0
423	0
245	0
120	0
1197	0
654	0
292	0
296	0
103	0
6	0
1160	0
845	0
849	0
545	0
1023	0
534	0
13	3
29	0
119	0
0	0
83	0
293	0
1304	0
11953	0
381	611
190	0
687	0
917	0
4932	0
522	0
11	43
337	0
0	0
499	46
427	82
136	1
2013	0
1999	0
178	0
1251	0
428	0
279	0
85	0
1082	0
72	0
2052	0
373	0
16	0
1884	0
41	0
7534	0
0	0
45	0
1777	0
117	0
2	1
41	0
1	0
1904	0
1483	0
702	0
2414	0
600	0
781	0
203	0
1076	0
214	0
151	0
74	0
405	0
308	0
891	0
614	0
17033	0
1291	0
1175	0
2297	0
559	0
434	0
1368	0
73	0
81	0
158	0
247	0
210	0
3	9
3	4
422	0
618	0
0	6
692	0
0	248
0	338
14	113
367	0
139	0
204	0
1029	0
209	0
633	15
840	0
295	0
137	0
0	4
1	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
122	0
13941	0
483	0
142	0
339	0
1	0
394	0
147	0
535	0
881	0
10	0
449	0
1096	0
15	0
20	0
5	0
726	0
188	0
197	0
449	0
441	0
221	0
84	0
216	0
0	0
410	0
0	29
214	0
1236	0
19	0
1169	0
816	0
24	55
1382	0
1733	0
22	0
6	0
0	0
0	0
93	0
12	0
3	0
812	0
1232	0
487	0
604	0
458	0
324	0
18	0
171	0
159	0
813	0
352	0
2	0
3	0
0	0
6	0
794	0
6886	0
132	0
346	0
265	0
93	0
868	0
2	0
303	0
621	0
78	0
354	0
104	0
917	0
316	0
855	0
27	0
30	0
282	0
221	0
218	0
245	0
295	0
237	0
20	0
472	0
418	0
64	0
46	0
8	0
13	3
59	0
84	0
105	0
268	0
27	0
2	0
240	0
164	0
1039	0
425	0
