baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL000005 275.334265812562 -1.96279249158816 0.251263108551497 -7.81170185668494 5.6420898157634e-15 6.062072559025e-14 5.32560862485062e-16 -1.91911434185238
AAEL000016 395.950851790013 -1.35520639836739 0.199627301034805 -6.78868266686185 1.13162037543433e-11 8.84041388845525e-11 6.70139655874743e-13 -1.32627501348564
AAEL000046 235.458405682185 -1.11024028826567 0.230937344803022 -4.80753898514182 1.52799628465344e-06 6.24219426759347e-06 9.90934789871088e-08 -1.07225705988125
AAEL000053 72.6230736104711 -2.75272010125848 0.405754223199772 -6.78420566901453 1.16726943526589e-11 9.10104196523117e-11 2.29094494280669e-12 -2.65429468103213
AAEL000107 194.428421360821 -1.45319143960714 0.238144131469909 -6.10215095638737 1.04650464513992e-09 6.47260411867112e-09 7.42624200825052e-11 -1.41235660791698
AAEL000115 182.018928236172 -1.7429918206288 0.284449007895856 -6.12760731184182 8.92104296098985e-10 5.53484874352058e-09 8.50472576433513e-11 -1.68527485663339
AAEL000146 134.303740809495 -1.50481850566451 0.376319688303326 -3.99877697722682 6.3670640444188e-05 0.00020146220989555 6.62837380527737e-06 -1.40223229470636
AAEL000149 330.777131994159 -1.24438128394459 0.222426558668237 -5.59457149090122 2.21167324108169e-08 1.18282900890646e-07 1.25023780231143e-09 -1.20876200893526
AAEL000154 221.427282593957 -1.34688801234716 0.240593728644302 -5.59818420844389 2.16608528172217e-08 1.16052782800348e-07 1.35569616904484e-09 -1.3049728016824
AAEL000157 207.633121319056 -1.54819288897644 0.232293355748337 -6.66481778606587 2.64993920723485e-11 1.98321782550234e-10 1.98953349870167e-12 -1.50911747787586
AAEL000164 253.815736038077 -1.4052898297104 0.284788088967758 -4.93451055064839 8.0352002288837e-07 3.43662433293389e-06 7.13019457227396e-08 -1.34608642752554
AAEL000187 61.1552631618624 -1.42131851170499 0.323454952824672 -4.39417761049222 1.11192881271679e-05 3.98352167989204e-05 1.0510218641563e-06 -1.34570879944679
AAEL000193 310.159101508151 -1.34727882828961 0.212919862086682 -6.32763338791344 2.48949746399056e-10 1.65186944011425e-09 1.81492356667939e-11 -1.31441779726363
AAEL000204 630.366779299973 -1.90218796516135 0.16750148608376 -11.3562453064455 6.90489545480543e-30 2.51291881231745e-28 5.21063049628649e-31 -1.88257952569295
AAEL000206 382.220874623498 -2.45007956457506 0.248551901591156 -9.85741629370112 6.36665718188293e-23 1.45313167839649e-21 7.39822292287891e-24 -2.41115297174922
AAEL000217 361.804875965639 -1.6497155058121 0.196858607346491 -8.38020510278444 5.2835551465265e-17 6.88534910306625e-16 3.79010099260574e-18 -1.62188919751248
AAEL000244 541.925565313738 -1.0681062917007 0.1711165730057 -6.24198038178992 4.32065154325396e-10 2.78787121469311e-09 2.22349333050959e-11 -1.0476525638031
AAEL000260 136.688443858111 -1.95312263056355 0.276921711711275 -7.05297760328708 1.75129048482625e-12 1.47844091353402e-11 1.84460434173197e-13 -1.90006194762085
AAEL000267 70.1555241815364 -2.43603122635134 0.482040272283982 -5.05358445428022 4.33594452769243e-07 1.93194344065388e-06 9.35624511159856e-08 -2.28642225012267
AAEL000276 862.808212361249 -1.01686062734116 0.154769010948541 -6.57018237119348 5.02536738219562e-11 3.63562487522843e-10 2.14821753001524e-12 -1.00035373714638
AAEL000294 6233.57208903069 -2.5942428799452 0.288537822091471 -8.99099764856055 2.44996295961583e-19 4.0116883194697e-18 4.14243951169709e-20 -2.53973002588232
AAEL000335 444.512811380044 -3.61580300428724 0.399492726716269 -9.05098581896157 1.41683351306167e-19 2.37205352670647e-18 3.55328173808121e-20 -3.53599981256408
AAEL000337 106.725234001548 -1.425813000709 0.276043687475641 -5.16517154856082 2.40218503870014e-07 1.11229180787291e-06 2.04773876822937e-08 -1.37061312330988
AAEL000397 70.3633679360966 -2.98268135325165 0.417698699139293 -7.14074848544596 9.2824063913677e-13 8.05262246320902e-12 1.78859544956677e-13 -2.88355346908772
AAEL000406 187.043236304262 -2.15782754867523 0.291167204951635 -7.41095670109436 1.25391522329656e-13 1.19457190905755e-12 1.45958033301088e-14 -2.10099777826812
