annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
zf-AD	343	104	17435	1921	8.00426193000731e-23	7.60404883350694e-20
zf-C2H2	485	113	17435	1921	4.27972446809819e-15	2.03286912234664e-12
DEAD	58	23	17435	1921	1.54805298648176e-08	4.90216779052557e-06
Helicase_C	83	28	17435	1921	2.944981461608e-08	6.994330971319e-06
zf-met	83	27	17435	1921	1.22137118051845e-07	2.32060524298506e-05
Cyclin_N	16	10	17435	1921	1.10274342723046e-06	0.000174601042644823
Cyclin_C	9	7	17435	1921	5.74290167956129e-06	0.000779393799369032
zf-C2H2_4	57	18	17435	1921	2.39758619988476e-05	0.00284713361236316
DUF4217	4	4	17435	1921	0.000146964970014047	0.0139616721513345
Dus	4	4	17435	1921	0.000146964970014047	0.0139616721513345
ERAP1_C	31	11	17435	1921	0.000293350812665394	0.0253348429120113
zf-C2H2_6	128	27	17435	1921	0.00065552232199575	0.0518955171579969
Peptidase_M1	30	10	17435	1921	0.000968940708638619	0.065749548086192
TUDOR	16	7	17435	1921	0.000905481500184283	0.065749548086192
F-box-like	56	14	17435	1921	0.0024700540263337	0.150023071318231
Peptidase_C14	10	5	17435	1921	0.0025267043590439	0.150023071318231
HATPase_c_3	4	3	17435	1921	0.0049019483793945	0.202471780888034
Methyltr_RsmB-F	4	3	17435	1921	0.0049019483793945	0.202471780888034
Methyltransf_23	4	3	17435	1921	0.0049019483793945	0.202471780888034
MOZ_SAS	4	3	17435	1921	0.0049019483793945	0.202471780888034
Ricin_B_lectin	15	6	17435	1921	0.00368129668921466	0.202471780888034
TMEM192	4	3	17435	1921	0.0049019483793945	0.202471780888034
XPG_N	4	3	17435	1921	0.0049019483793945	0.202471780888034
WD40	140	26	17435	1921	0.00527070461180184	0.20863205755049
AAA_12	13	5	17435	1921	0.00972537092650402	0.230548977883042
AARP2CN	2	2	17435	1921	0.0121341567306864	0.230548977883042
AdoHcyase	2	2	17435	1921	0.0121341567306864	0.230548977883042
AdoHcyase_NAD	2	2	17435	1921	0.0121341567306864	0.230548977883042
Anillin	2	2	17435	1921	0.0121341567306864	0.230548977883042
BRCT	5	3	17435	1921	0.0112496098127362	0.230548977883042
Cnd1	2	2	17435	1921	0.0121341567306864	0.230548977883042
DNA_mis_repair	2	2	17435	1921	0.0121341567306864	0.230548977883042
DNA_pol_A	2	2	17435	1921	0.0121341567306864	0.230548977883042
DRY_EERY	2	2	17435	1921	0.0121341567306864	0.230548977883042
EHN	2	2	17435	1921	0.0121341567306864	0.230548977883042
Fcf1	2	2	17435	1921	0.0121341567306864	0.230548977883042
Glycos_transf_2	17	6	17435	1921	0.00750298875463921	0.230548977883042
NLE	2	2	17435	1921	0.0121341567306864	0.230548977883042
Nop14	2	2	17435	1921	0.0121341567306864	0.230548977883042
NOP5NT	2	2	17435	1921	0.0121341567306864	0.230548977883042
Perilipin	2	2	17435	1921	0.0121341567306864	0.230548977883042
PTCB-BRCT	5	3	17435	1921	0.0112496098127362	0.230548977883042
PTR2	2	2	17435	1921	0.0121341567306864	0.230548977883042
RIBIOP_C	2	2	17435	1921	0.0121341567306864	0.230548977883042
SMC_Nse1	2	2	17435	1921	0.0121341567306864	0.230548977883042
TGT	2	2	17435	1921	0.0121341567306864	0.230548977883042
zf-C4pol	2	2	17435	1921	0.0121341567306864	0.230548977883042
zf-nanos	2	2	17435	1921	0.0121341567306864	0.230548977883042
zf-RING-like	2	2	17435	1921	0.0121341567306864	0.230548977883042
zf-U11-48K	5	3	17435	1921	0.0112496098127362	0.230548977883042
RhoGAP	24	7	17435	1921	0.0124477946221733	0.231870684138522
Propep_M14	19	6	17435	1921	0.0135723401676001	0.247956214600387
40S_SA_C	1	1	17435	1921	0.110180671063953	0.25283004229651
A_deamin	1	1	17435	1921	0.110180671063953	0.25283004229651
AA_permease_2	11	4	17435	1921	0.0256664914313183	0.25283004229651
AAA_11	12	4	17435	1921	0.0352125351692587	0.25283004229651
AAA_30	1	1	17435	1921	0.110180671063953	0.25283004229651
AAA_assoc_2	1	1	17435	1921	0.110180671063953	0.25283004229651
AATF-Che1	1	1	17435	1921	0.110180671063953	0.25283004229651
AC_N	4	2	17435	1921	0.0625601487152875	0.25283004229651
AKAP2_C	1	1	17435	1921	0.110180671063953	0.25283004229651
ALG3	1	1	17435	1921	0.110180671063953	0.25283004229651
ALMS_motif	1	1	17435	1921	0.110180671063953	0.25283004229651
Alpha-mann_mid	5	2	17435	1921	0.0967671746503217	0.25283004229651
An_peroxidase	15	5	17435	1921	0.0188236872715453	0.25283004229651
Ank_5	11	4	17435	1921	0.0256664914313183	0.25283004229651
ASH	1	1	17435	1921	0.110180671063953	0.25283004229651
Auts2	1	1	17435	1921	0.110180671063953	0.25283004229651
BCAS2	1	1	17435	1921	0.110180671063953	0.25283004229651
Beta_helix	3	2	17435	1921	0.033731048547341	0.25283004229651
Beta-TrCP_D	1	1	17435	1921	0.110180671063953	0.25283004229651
BHD_1	4	2	17435	1921	0.0625601487152875	0.25283004229651
BHD_3	4	2	17435	1921	0.0625601487152875	0.25283004229651
BING4CT	1	1	17435	1921	0.110180671063953	0.25283004229651
BNIP2	1	1	17435	1921	0.110180671063953	0.25283004229651
BORA_N	1	1	17435	1921	0.110180671063953	0.25283004229651
BP28CT	1	1	17435	1921	0.110180671063953	0.25283004229651
BRCA-2_helical	1	1	17435	1921	0.110180671063953	0.25283004229651
BRCA-2_OB1	1	1	17435	1921	0.110180671063953	0.25283004229651
BRCA-2_OB3	1	1	17435	1921	0.110180671063953	0.25283004229651
BRCA2	1	1	17435	1921	0.110180671063953	0.25283004229651
BRCT_2	5	2	17435	1921	0.0967671746503217	0.25283004229651
Brix	7	3	17435	1921	0.0332336157193927	0.25283004229651
CAF1A	1	1	17435	1921	0.110180671063953	0.25283004229651
CALM_bind	1	1	17435	1921	0.110180671063953	0.25283004229651
CaMKII_AD	1	1	17435	1921	0.110180671063953	0.25283004229651
CDC45	1	1	17435	1921	0.110180671063953	0.25283004229651
CN_hydrolase	9	3	17435	1921	0.0674749528287815	0.25283004229651
Cnd1_N	1	1	17435	1921	0.110180671063953	0.25283004229651
Cnd2	1	1	17435	1921	0.110180671063953	0.25283004229651
Codanin-1_C	1	1	17435	1921	0.110180671063953	0.25283004229651
Coilin_N	1	1	17435	1921	0.110180671063953	0.25283004229651
COMPASS-Shg1	1	1	17435	1921	0.110180671063953	0.25283004229651
COPIIcoated_ERV	1	1	17435	1921	0.110180671063953	0.25283004229651
CortBP2	1	1	17435	1921	0.110180671063953	0.25283004229651
CPL	1	1	17435	1921	0.110180671063953	0.25283004229651
CPSase_L_D3	1	1	17435	1921	0.110180671063953	0.25283004229651
CPSase_sm_chain	1	1	17435	1921	0.110180671063953	0.25283004229651
Creb_binding	1	1	17435	1921	0.110180671063953	0.25283004229651
CSTF_C	1	1	17435	1921	0.110180671063953	0.25283004229651
CSTF2_hinge	1	1	17435	1921	0.110180671063953	0.25283004229651
CTP_synth_N	1	1	17435	1921	0.110180671063953	0.25283004229651
CTU2	1	1	17435	1921	0.110180671063953	0.25283004229651
Cupin_4	1	1	17435	1921	0.110180671063953	0.25283004229651
CytochromB561_N	1	1	17435	1921	0.110180671063953	0.25283004229651
DALR_1	3	2	17435	1921	0.033731048547341	0.25283004229651
DCAF15_WD40	1	1	17435	1921	0.110180671063953	0.25283004229651
dCMP_cyt_deam_1	4	2	17435	1921	0.0625601487152875	0.25283004229651
DCP1	1	1	17435	1921	0.110180671063953	0.25283004229651
DEAD_2	4	2	17435	1921	0.0625601487152875	0.25283004229651
DEK_C	3	2	17435	1921	0.033731048547341	0.25283004229651
Det1	1	1	17435	1921	0.110180671063953	0.25283004229651
DFP	1	1	17435	1921	0.110180671063953	0.25283004229651
DGCR6	1	1	17435	1921	0.110180671063953	0.25283004229651
DHC_N1	9	3	17435	1921	0.0674749528287815	0.25283004229651
DKCLD	1	1	17435	1921	0.110180671063953	0.25283004229651
DNA_pol_B	4	2	17435	1921	0.0625601487152875	0.25283004229651
DNA_pol_B_exo1	4	2	17435	1921	0.0625601487152875	0.25283004229651
DNA_pol_phi	1	1	17435	1921	0.110180671063953	0.25283004229651
DNA_primase_S	1	1	17435	1921	0.110180671063953	0.25283004229651
DNase_II	1	1	17435	1921	0.110180671063953	0.25283004229651
DND1_DSRM	1	1	17435	1921	0.110180671063953	0.25283004229651
DPCD	1	1	17435	1921	0.110180671063953	0.25283004229651
Dpoe2NT	1	1	17435	1921	0.110180671063953	0.25283004229651
DRIM	1	1	17435	1921	0.110180671063953	0.25283004229651
DS	1	1	17435	1921	0.110180671063953	0.25283004229651
DUF1487	1	1	17435	1921	0.110180671063953	0.25283004229651
DUF1726	1	1	17435	1921	0.110180671063953	0.25283004229651
DUF2039	1	1	17435	1921	0.110180671063953	0.25283004229651
