GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0022008	neurogenesis	1448	197	144.38	5.8e-07	0.00329324	BP
GO:0042254	ribosome biogenesis	60	24	5.98	3.4e-06	0.0096526	BP
GO:0007144	female meiosis I	6	5	0.6	5.4e-05	0.076653	BP
GO:0001516	prostaglandin biosynthetic process	6	5	0.6	5.4e-05	0.076653	BP
GO:0007305	vitelline membrane formation involved in...	7	5	0.7	0.00017	0.160876666666667	BP
GO:0006400	tRNA modification	14	7	1.4	0.00017	0.160876666666667	BP
GO:0030261	chromosome condensation	49	18	4.89	2e-04	0.162228571428571	BP
GO:0007052	mitotic spindle organization	221	39	22.04	0.00027	0.182957777777778	BP
GO:0006260	DNA replication	84	28	8.38	0.00029	0.182957777777778	BP
GO:0006270	DNA replication initiation	8	5	0.8	0.00042	0.22712	BP
GO:0009169	purine ribonucleoside monophosphate cata...	296	48	29.51	0.00044	0.22712	BP
GO:0045476	nurse cell apoptotic process	21	10	2.09	0.00048	0.22712	BP
GO:0007056	spindle assembly involved in female meio...	12	6	1.2	0.00053	0.230905333333333	BP
GO:0006364	rRNA processing	33	12	3.29	0.00057	0.230905333333333	BP
GO:0007076	mitotic chromosome condensation	26	9	2.59	0.00061	0.230905333333333	BP
GO:0006289	nucleotide-excision repair	27	9	2.69	0.00083	0.259992631578947	BP
GO:0035186	syncytial blastoderm mitotic cell cycle	22	8	2.19	0.00084	0.259992631578947	BP
GO:0007542	primary sex determination, germ-line	9	5	0.9	0.00087	0.259992631578947	BP
GO:0006282	regulation of DNA repair	9	5	0.9	0.00087	0.259992631578947	BP
GO:0035561	regulation of chromatin binding	3	3	0.3	0.00099	0.273084761904762	BP
GO:0016321	female meiosis chromosome segregation	33	10	3.29	0.00101	0.273084761904762	BP
GO:0007362	terminal region determination	28	9	2.79	0.00112	0.289061818181818	BP
GO:0006277	DNA amplification	23	8	2.29	0.00118	0.291306086956522	BP
GO:0007147	female meiosis II	6	4	0.6	0.00125	0.295729166666667	BP
GO:0045132	meiotic chromosome segregation	50	19	4.99	0.00135	0.306612	BP
GO:0007319	negative regulation of oskar mRNA transl...	10	5	1	0.0016	0.313268965517241	BP
GO:0016572	histone phosphorylation	10	5	1	0.0016	0.313268965517241	BP
GO:0006360	transcription by RNA polymerase I	10	5	1	0.0016	0.313268965517241	BP
GO:0007096	regulation of exit from mitosis	10	5	1	0.0016	0.313268965517241	BP
