baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL000024 182.33717178918 2.02567422245708 0.287704716076651 7.04080993207422 1.91125572751192e-12 1.60440644298944e-11 1.99643290797096e-13 1.97024103148994
AAEL000028 1958.98995746401 1.5001691082722 0.207948476720619 7.21413848242657 5.42764989188626e-13 4.82426334768773e-12 4.07981614437421e-14 1.46959746786143
AAEL000037 133.75530608456 2.3017680781999 0.541181816821332 4.25322508379807 2.10713586702977e-05 7.22161379406673e-05 4.72701123626224e-06 2.11017920788158
AAEL000080 1184.2970935603 1.46560955411227 0.392920546929932 3.73004050198887 0.000191448992866457 0.000555905285294793 2.05171666648725e-05 1.35778603319195
AAEL000094 194.018560479928 4.47788338705964 0.411212677804208 10.8894584937668 1.29407416779031e-27 4.08660405844258e-26 1.9884585642078e-28 4.40946562744953
AAEL000098 86.8135414215239 3.65803970950621 0.661877565380966 5.52676189802671 3.26195176661939e-08 1.71080484350332e-07 1.16665777956952e-08 3.44133456978683
AAEL000102 1721.78476696572 1.079168682253 0.229623156622203 4.69973803220788 2.60495434128758e-06 1.02794512303966e-05 1.49501299964794e-07 1.04354602695588
AAEL000111 485.417214762965 2.86382479620788 0.3870702427997 7.39872116103186 1.37502237005798e-13 1.30474101998268e-12 3.03699065564362e-14 2.77870104889889
AAEL000124 202.775636839148 1.87971176609205 0.263174596547604 7.14245140203736 9.16809360367328e-13 7.95923878887621e-12 7.85224823362229e-14 1.83241993306685
AAEL000138 2529.08655782873 1.88906919977777 0.22640706707213 8.34368478072262 7.20107803359065e-17 9.20334780374428e-16 8.22831335183464e-18 1.85428111993044
AAEL000139 19.5369605747068 2.42955707168808 0.624525749884274 3.89024323198568 0.000100143792438115 0.000305654934884629 2.3556368861577e-05 2.17883683338632
AAEL000166 26.5403020919674 2.33646822571636 0.512266828075034 4.56103752510425 5.09014825097758e-06 1.92586686757272e-05 1.00942445074148e-06 2.16694560434769
AAEL000176 149.444037628507 1.31456683892363 0.219981585741963 5.97580399509261 2.28958151820708e-09 1.37133640656487e-08 1.20531445297618e-10 1.2803920609876
AAEL000179 1347.08265601922 2.13914624322117 0.255576477996945 8.36988700989428 5.76735081203746e-17 7.47501266485246e-16 7.74575783986746e-18 2.09620749015283
AAEL000182 3804.70550316874 2.54226679199139 0.20876797953817 12.177474714347 4.09773861355197e-34 1.93338758221225e-32 3.92735447417422e-35 2.51532778419278
AAEL000188 31.0844497136178 2.2627135857947 0.569585493885168 3.97256181922864 7.11037749142154e-05 0.00022294871582637 1.44758172843411e-05 2.04885507365254
AAEL000200 834.284924339554 1.95512149038389 0.262474430331191 7.44880744351713 9.41877223121495e-14 9.14080358731811e-13 8.7669747599571e-15 1.90868943335948
AAEL000213 412.566168181398 3.78297994774764 0.43931392587628 8.61110865129508 7.23573696254101e-18 1.04189375297771e-16 1.62606086109808e-18 3.69221843871915
AAEL000227 418.347450258921 1.07686846628415 0.282293387012489 3.81471375465308 0.000136340878529013 0.000407078806153283 8.89770562221909e-06 1.0232073754129
AAEL000229 723.647230473947 1.22652385104396 0.279085976650781 4.39478853707759 1.10880637139022e-05 3.97591518632774e-05 8.5536523904451e-07 1.17242115599392
AAEL000239 1366.72561807826 1.30152313133943 0.197814188703321 6.57952364221676 4.71957863429999e-11 3.42477873298717e-10 2.54650239728036e-12 1.27383587551436
AAEL000249 522.900852917828 3.51445548133317 0.272716013137069 12.8868688013812 5.33669269330962e-38 3.18520503400185e-36 9.8881805579388e-39 3.47822153902074
AAEL000252 66.3514674217547 2.76682068304249 0.437536667578994 6.32363156750276 2.55486474537565e-10 1.69242066956433e-09 4.95939430733388e-11 2.6550884496982
AAEL000256 304.912469507624 2.38538130464132 0.362342173112973 6.58322845543456 4.60340959499035e-11 3.34251218585157e-10 7.30653369696824e-12 2.30296344954485
AAEL000258 1074.88331375094 1.19772610181137 0.188914853836498 6.34003138179905 2.29718366061563e-10 1.53108390457212e-09 1.28658381839843e-11 1.1728994245836
AAEL000268 26.081021079795 2.41797674440493 0.579466694145162 4.1727622464514 3.00928917315391e-05 0.000100734393886535 6.72279337179517e-06 2.20154168352962
