annot	freq_in_pop	freq_in_int	total_ano_in_pop	total_ano_in_int	pval	pval_adj
zf-AD	343	221	17435	3712	7.18691278881562e-68	1.15924903283596e-64
zf-C2H2	485	257	17435	3712	1.313470870375e-54	1.05931425695744e-51
zf-C2H2_6	128	71	17435	3712	2.42781307158649e-17	1.30535416148967e-14
Helicase_C	83	49	17435	3712	7.99866036755663e-14	2.58036783457377e-11
zf-met	83	49	17435	3712	7.99866036755663e-14	2.58036783457377e-11
zf-C2H2_4	57	36	17435	3712	9.77433259580202e-12	2.62766641283811e-09
DEAD	58	36	17435	3712	2.04895024788961e-11	4.7213667854942e-09
Pkinase	169	65	17435	3712	2.47125133944469e-07	4.98266051315535e-05
WD40	140	54	17435	3712	2.24261249180197e-06	0.000401925994364065
TUDOR	16	12	17435	3712	6.51763485142448e-06	0.00105129450153477
THAP	82	35	17435	3712	1.02545287911751e-05	0.00150368681274231
zf-B_box	19	13	17435	3712	1.32590768679783e-05	0.00178224091567074
IBN_N	13	10	17435	3712	2.85158296575987e-05	0.00353815640290052
Cyclin_N	16	11	17435	3712	5.98139187189133e-05	0.00689141792097194
SET	31	16	17435	3712	0.000189229797945528	0.0203485109390758
AAA_12	13	9	17435	3712	0.000273775984924048	0.0276000414801556
HEAT	5	5	17435	3712	0.00043652462373123	0.0370586430567618
RecQ_Zn_bind	5	5	17435	3712	0.00043652462373123	0.0370586430567618
zf-U11-48K	5	5	17435	3712	0.00043652462373123	0.0370586430567618
Cyclin_C	9	7	17435	3712	0.000471255917435656	0.0380067897411857
RNase_PH	7	6	17435	3712	0.000531432840753396	0.0399364804044126
SNF2_N	19	11	17435	3712	0.000544700910661548	0.0399364804044126
AAA_11	12	8	17435	3712	0.000902670249563191	0.0633046570671925
zf-MYND	23	12	17435	3712	0.00107087853415478	0.0719719614829857
BHD_1	4	4	17435	3712	0.00205206599683362	0.0973524250850775
BHD_3	4	4	17435	3712	0.00205206599683362	0.0973524250850775
DNA_pol_B	4	4	17435	3712	0.00205206599683362	0.0973524250850775
DNA_pol_B_exo1	4	4	17435	3712	0.00205206599683362	0.0973524250850775
DUF4217	4	4	17435	3712	0.00205206599683362	0.0973524250850775
Dus	4	4	17435	3712	0.00205206599683362	0.0973524250850775
HRDC	4	4	17435	3712	0.00205206599683362	0.0973524250850775
Methyltr_RsmB-F	4	4	17435	3712	0.00205206599683362	0.0973524250850775
PBD	4	4	17435	3712	0.00205206599683362	0.0973524250850775
Sld5	4	4	17435	3712	0.00205206599683362	0.0973524250850775
SAM_1	22	11	17435	3712	0.00268747347092858	0.123854134531651
BESS	11	7	17435	3712	0.00287428064503017	0.128783741123157
RRM_1	129	41	17435	3712	0.00345831990048402	0.15076405404002
F-box	14	8	17435	3712	0.00362555403728622	0.153895227951123
FLYWCH	20	10	17435	3712	0.00419018756622494	0.17330186011079
Beta_helix	3	3	17435	3712	0.00964454420512367	0.232506662280845
BRCT	5	4	17435	3712	0.0085142314892432	0.232506662280845
BRCT_2	5	4	17435	3712	0.0085142314892432	0.232506662280845
Brix	7	5	17435	3712	0.00621373943405099	0.232506662280845
DALR_1	3	3	17435	3712	0.00964454420512367	0.232506662280845
E2F_TDP	3	3	17435	3712	0.00964454420512367	0.232506662280845
ERCC4	3	3	17435	3712	0.00964454420512367	0.232506662280845
