GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0007052	mitotic spindle organization	221	101	41.17	2.2e-14	6.2458e-11	BP
GO:0022008	neurogenesis	1448	392	269.74	2.2e-14	6.2458e-11	BP
GO:0090305	nucleic acid phosphodiester bond hydroly...	91	50	16.95	1.3e-12	2.46046666666667e-09	BP
GO:0007131	reciprocal meiotic recombination	39	25	7.27	4.8e-10	6.8136e-07	BP
GO:0006364	rRNA processing	33	23	6.15	8.1e-09	9.19836e-06	BP
GO:0030261	chromosome condensation	49	33	9.13	1e-08	9.46333333333333e-06	BP
GO:0032508	DNA duplex unwinding	38	23	7.08	1.2e-08	9.73371428571429e-06	BP
GO:0000022	mitotic spindle elongation	90	39	16.77	5.1e-08	3.4068e-05	BP
GO:0006289	nucleotide-excision repair	27	18	5.03	5.6e-08	3.4068e-05	BP
GO:0006468	protein phosphorylation	405	127	75.45	6e-08	3.4068e-05	BP
GO:0006260	DNA replication	84	52	15.65	1.5e-07	7.74272727272727e-05	BP
GO:0045132	meiotic chromosome segregation	50	30	9.31	3.2e-07	0.000151413333333333	BP
GO:0042254	ribosome biogenesis	60	41	11.18	6.1e-07	0.000266429230769231	BP
GO:0044260	cellular macromolecule metabolic process	2735	782	509.49	8.9e-07	0.000336894666666667	BP
GO:1901988	negative regulation of cell cycle phase ...	129	61	24.03	8.9e-07	0.000336894666666667	BP
GO:0030717	oocyte karyosome formation	31	18	5.77	1.2e-06	0.00042585	BP
GO:0007076	mitotic chromosome condensation	26	16	4.84	1.6e-06	0.0005344	BP
GO:0006281	DNA repair	107	66	19.93	2.9e-06	0.000914788888888889	BP
GO:0006342	chromatin silencing	76	35	14.16	5.1e-06	0.00152409473684211	BP
GO:0006378	mRNA polyadenylation	15	11	2.79	5.9e-06	0.00167501	BP
GO:0000724	double-strand break repair via homologou...	20	16	3.73	7.5e-06	0.00202785714285714	BP
GO:0006302	double-strand break repair	41	29	7.64	1.3e-05	0.00335518181818182	BP
GO:0007307	eggshell chorion gene amplification	21	13	3.91	1.4e-05	0.00345617391304348	BP
GO:0007088	regulation of mitotic nuclear division	67	37	12.48	1.5e-05	0.00354875	BP
GO:0043933	protein-containing complex subunit organ...	765	213	142.51	1.7e-05	0.00386104	BP
GO:0000278	mitotic cell cycle	544	236	101.34	1.8e-05	0.00393092307692308	BP
GO:0016321	female meiosis chromosome segregation	33	17	6.15	2e-05	0.00420592592592593	BP
GO:0006412	translation	365	120	67.99	2.6e-05	0.00527242857142857	BP
GO:0007095	mitotic G2 DNA damage checkpoint	75	29	13.97	3.7e-05	0.00724434482758621	BP
GO:0006606	protein import into nucleus	68	30	12.67	3.9e-05	0.0073814	BP
GO:0006261	DNA-dependent DNA replication	63	37	11.74	4.2e-05	0.00769277419354839	BP
GO:0048813	dendrite morphogenesis	182	56	33.9	4.5e-05	0.00774272727272727	BP
GO:0000280	nuclear division	396	190	73.77	4.5e-05	0.00774272727272727	BP
GO:0006999	nuclear pore organization	8	7	1.49	5.2e-05	0.00843588571428571	BP
GO:0033314	mitotic DNA replication checkpoint	8	7	1.49	5.2e-05	0.00843588571428571	BP
GO:0007062	sister chromatid cohesion	18	11	3.35	7.9e-05	0.0124600555555556	BP
GO:0007143	female meiotic nuclear division	63	36	11.74	8.9e-05	0.0133942564102564	BP
