baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL000017 28.0587850509516 3.88543199884541 0.64860937640024 5.99040368551165 2.09320809810623e-09 6.21976227182245e-09 2.87993259852116e-10 3.69096637331181
AAEL000024 213.180849195427 1.7025161944354 0.208158361211243 8.17894695427417 2.86335115820488e-16 1.37536336799564e-15 1.29347003992263e-17 1.67262657435707
AAEL000036 6.01738939314905 5.22217467577808 1.49453426968692 3.49418195467143 0.000475516810242707 0.000883949418776442 0.000208662766418328 4.2684612126639
AAEL000044 972.166300023075 2.46743568125426 0.335644264215946 7.35134171596261 1.96227042628433e-13 7.85900155563355e-13 1.69650382933451e-14 2.39967005400526
AAEL000049 256.810116432643 1.44459803135318 0.216668379042907 6.6673228356368 2.60511636610608e-11 8.93223020199099e-11 1.12525975691117e-12 1.41247091781784
AAEL000057 11.4069639671398 3.88569353516934 0.879453809904129 4.41830314612308 9.94788277798648e-06 2.17375214779791e-05 1.19840900726648e-06 3.52383490121464
AAEL000071 11.0722934463567 3.25509778302439 0.830521415836688 3.91934238052744 8.87909061463501e-05 0.000177918673144346 1.51227118211539e-05 2.88016563728598
AAEL000094 216.272914901356 4.68220446909089 0.458410938672056 10.2139894014189 1.71658523257484e-24 1.31318252312123e-23 2.39405971090442e-25 4.60045188850899
AAEL000098 91.2011802110314 6.11454016336972 0.655859504450565 9.32294206591101 1.13158150811068e-20 7.04515088252012e-20 6.84156730895763e-22 5.98203444662017
AAEL000119 154.437771423204 1.89691128341318 0.300212552462639 6.31856085914078 2.6401032417647e-10 8.41064304916041e-10 1.62007213483967e-11 1.83704448054977
AAEL000123 10.7437406132037 3.24160392046356 0.837475775747726 3.87068380284713 0.000108530490838327 0.000215564478512478 1.89813463972221e-05 2.85928703496248
AAEL000124 217.613630965647 2.11188259158505 0.429919182643971 4.91227811375413 9.00242347574245e-07 2.15229573705227e-06 8.22260339880079e-08 1.99161459425902
AAEL000126 441.103660377305 1.48745700750403 0.206196827938676 7.21377250258383 5.44226507891642e-13 2.11549071267539e-12 2.08201259154591e-14 1.45839802719803
AAEL000134 127.36147550834 2.21836605468537 0.287368929733971 7.71957517028372 1.1671806983306e-14 5.06164301472416e-14 7.52775322926087e-16 2.16618070346158
AAEL000138 3049.95666233353 1.36285514238712 0.202781130093288 6.7208183609597 1.80706745500137e-11 6.2808848531937e-11 7.64125315811218e-13 1.33492053025398
AAEL000139 20.5494401192697 2.98014881627522 0.691887043830749 4.30727651695156 1.65276944629827e-05 3.54013273086801e-05 2.41524852071002e-06 2.70867283852526
AAEL000146 46.5577108758811 2.31603386303558 0.479303898986698 4.83207807808769 1.35115241822196e-06 3.17758962029342e-06 1.46105530375984e-07 2.17042085709609
AAEL000166 33.5408557060058 1.48070016337907 0.421524809773841 3.51272363819701 0.000443538558755689 0.000827660057527913 2.71196492529005e-05 1.35904021580297
AAEL000176 143.661365864434 2.25908561253853 0.320970082430763 7.03830586149987 1.94591178035009e-12 7.26764222973414e-12 1.65367756677262e-13 2.19433376992889
AAEL000179 1611.73435696523 1.63867376040714 0.263033754681344 6.22989913363906 4.66735580859554e-10 1.46371603735173e-09 2.16782922272732e-11 1.59195654024303
AAEL000180 417.37624265142 1.07508698982972 0.197931914235738 5.43160002256779 5.58509962637103e-08 1.48234344354856e-07 1.78130676595812e-09 1.04957663565548
