GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0090305	nucleic acid phosphodiester bond hydroly...	91	47	16.2	1.3e-11	7.3814e-08	BP
GO:0022008	neurogenesis	1448	357	257.77	6.4e-09	1.81696e-05	BP
GO:0030261	chromosome condensation	49	30	8.72	6e-08	0.00011356	BP
GO:0007131	reciprocal meiotic recombination	39	24	6.94	1.6e-07	0.000215764	BP
GO:0045132	meiotic chromosome segregation	50	26	8.9	1.9e-07	0.000215764	BP
GO:0006289	nucleotide-excision repair	27	17	4.81	2.3e-07	0.000217656666666667	BP
GO:0006364	rRNA processing	33	19	5.87	3.3e-07	0.000267677142857143	BP
GO:0006468	protein phosphorylation	405	119	72.1	6.6e-07	0.000468435	BP
GO:0007307	eggshell chorion gene amplification	21	14	3.74	1e-06	0.000630888888888889	BP
GO:0007140	male meiotic nuclear division	54	25	9.61	1.2e-06	0.00068136	BP
GO:1901988	negative regulation of cell cycle phase ...	129	58	22.96	2.8e-06	0.00137218333333333	BP
GO:0007052	mitotic spindle organization	221	67	39.34	2.9e-06	0.00137218333333333	BP
GO:0007094	mitotic spindle assembly checkpoint	20	13	3.56	3.8e-06	0.00165972307692308	BP
GO:0000724	double-strand break repair via homologou...	20	15	3.56	5.4e-06	0.00219008571428571	BP
GO:0032508	DNA duplex unwinding	38	19	6.76	5.8e-06	0.00219549333333333	BP
GO:0007283	spermatogenesis	158	51	28.13	6.4e-06	0.0022378	BP
GO:0006342	chromatin silencing	76	30	13.53	6.7e-06	0.0022378	BP
GO:0007088	regulation of mitotic nuclear division	67	38	11.93	8.7e-06	0.00274436666666667	BP
GO:0006400	tRNA modification	14	10	2.49	1.5e-05	0.00448263157894737	BP
GO:0042254	ribosome biogenesis	60	35	10.68	1.7e-05	0.0048263	BP
GO:0030717	oocyte karyosome formation	31	16	5.52	1.9e-05	0.0051372380952381	BP
GO:0006302	double-strand break repair	41	28	7.3	2.7e-05	0.00696845454545454	BP
GO:0007076	mitotic chromosome condensation	26	14	4.63	3.4e-05	0.00839356521739131	BP
GO:0007304	chorion-containing eggshell formation	92	41	16.38	3.7e-05	0.00875358333333333	BP
GO:0006260	DNA replication	84	42	14.95	5.1e-05	0.0111376153846154	BP
GO:0007062	sister chromatid cohesion	18	11	3.2	5.1e-05	0.0111376153846154	BP
GO:0007143	female meiotic nuclear division	63	32	11.21	5.5e-05	0.0115662962962963	BP
GO:0000090	mitotic anaphase	16	10	2.85	8.7e-05	0.0176423571428571	BP
GO:0016573	histone acetylation	31	15	5.52	9.1e-05	0.0178171724137931	BP
GO:1901992	positive regulation of mitotic cell cycl...	25	13	4.45	0.00011	0.0208193333333333	BP
GO:0009169	purine ribonucleoside monophosphate cata...	296	78	52.69	0.00012	0.0219793548387097	BP
GO:0007349	cellularization	99	33	17.62	0.00013	0.023066875	BP
GO:0042127	regulation of cell proliferation	162	48	28.84	0.00014	0.0240884848484848	BP
GO:0048132	female germ-line stem cell asymmetric di...	14	9	2.49	0.00015	0.02505	BP
GO:0008335	female germline ring canal stabilization	5	5	0.89	0.00018	0.0292011428571429	BP
GO:0051225	spindle assembly	50	22	8.9	0.00022	0.0346988888888889	BP
GO:0006997	nucleus organization	49	25	8.72	0.00026	0.0398994594594595	BP
GO:0006378	mRNA polyadenylation	15	9	2.67	0.00031	0.0463205263157895	BP
GO:0006261	DNA-dependent DNA replication	63	30	11.21	0.00035	0.0509564102564103	BP
GO:0006281	DNA repair	107	60	19.05	0.00036	0.051102	BP
GO:0007319	negative regulation of oskar mRNA transl...	10	7	1.78	0.00041	0.0554280952380952	BP
GO:0016572	histone phosphorylation	10	7	1.78	0.00041	0.0554280952380952	BP
GO:0006606	protein import into nucleus	68	27	12.11	0.00049	0.0647027906976744	BP
GO:0007346	regulation of mitotic cell cycle	214	93	38.1	0.00054	0.068136	BP
GO:0045003	double-strand break repair via synthesis...	13	8	2.31	0.00054	0.068136	BP
GO:0035186	syncytial blastoderm mitotic cell cycle	22	11	3.92	0.00056	0.0691234782608696	BP
GO:0044260	cellular macromolecule metabolic process	2735	698	486.87	0.00063	0.0741616326530612	BP
GO:0033314	mitotic DNA replication checkpoint	8	6	1.42	0.00064	0.0741616326530612	BP
GO:0006270	DNA replication initiation	8	6	1.42	0.00064	0.0741616326530612	BP
GO:0000278	mitotic cell cycle	544	188	96.84	0.00066	0.0745933333333333	BP
GO:0006355	regulation of transcription, DNA-templat...	786	199	139.92	0.00067	0.0745933333333333	BP
GO:0000956	nuclear-transcribed mRNA catabolic proce...	36	15	6.41	0.00069	0.0753426923076923	BP
GO:0048813	dendrite morphogenesis	182	50	32.4	0.00072	0.0771350943396227	BP
GO:0017148	negative regulation of translation	36	19	6.41	0.00077	0.0809640740740741	BP
GO:0007095	mitotic G2 DNA damage checkpoint	75	25	13.35	0.00084	0.086030303030303	BP
GO:0045892	negative regulation of transcription, DN...	280	84	49.84	0.00089	0.086030303030303	BP
GO:0009949	polarity specification of anterior/poste...	6	5	1.07	0.00091	0.086030303030303	BP
GO:2000779	regulation of double-strand break repair	6	5	1.07	0.00091	0.086030303030303	BP
GO:0031398	positive regulation of protein ubiquitin...	6	5	1.07	0.00091	0.086030303030303	BP
GO:0051310	metaphase plate congression	13	10	2.31	0.00099	0.086030303030303	BP
GO:0007000	nucleolus organization	4	4	0.71	0.001	0.086030303030303	BP
GO:0030953	astral microtubule organization	4	4	0.71	0.001	0.086030303030303	BP
