baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL000022 304.520181422953 1.05012628483429 0.142218194778881 7.38390953750334 1.53707902550354e-13 4.70543026341618e-13 3.26122488779199e-15 1.03699873620676
AAEL000024 314.965044554422 1.30330271375667 0.177220474752776 7.35413171404028 1.92172169983352e-13 5.85073429956776e-13 5.19973022396426e-15 1.28193482877683
AAEL000028 3022.74977866228 1.46039891566043 0.148802070786804 9.81437225932707 9.76438160030494e-23 4.59462769727536e-22 2.51002725940343e-24 1.44566784929048
AAEL000036 8.21665781179642 6.11783256956128 1.42539758040756 4.29201834888202 1.7705631338623e-05 3.34021974923186e-05 1.65479769080121e-05 5.36627366648535
AAEL000041 9.02964363665787 2.94262501255762 0.819848415741879 3.58923058952898 0.000331655384753467 0.000560885761226708 6.60191475189276e-05 2.53802933324704
AAEL000044 1465.50015625376 1.75548530943104 0.29174363948675 6.01721879016582 1.77439186784576e-09 4.35031692118675e-09 8.22585300797293e-11 1.69803733967763
AAEL000049 360.479030219258 1.35445436051229 0.191456887644332 7.0744613953427 1.5003032412145e-12 4.37508014515708e-12 4.1271328318306e-14 1.32932757793403
AAEL000057 17.3948979950073 2.39579033821383 0.572998230618937 4.18114788177612 2.90041142695316e-05 5.37687601552252e-05 2.66240982071576e-06 2.19053425251048
AAEL000080 1799.07362447513 1.48297194397109 0.351074370953775 4.22409627892305 2.39901482522968e-05 4.48062604089518e-05 1.12468337089792e-06 1.39881779828395
AAEL000094 294.447492148538 5.0039612281486 0.373450765709232 13.39925282693 6.10749111789766e-41 5.7900529660689e-40 4.3696924057654e-42 4.95313625520115
AAEL000098 125.382501627461 5.83779580657158 0.585240337565466 9.97504005082109 1.96022352512522e-23 9.55443079410893e-23 2.08832438884699e-25 5.73173276921685
AAEL000102 2443.60647675897 1.47208428843737 0.152821894287835 9.63267923943375 5.81920376844215e-22 2.64664566785446e-21 1.70712952541784e-23 1.45649918149392
AAEL000111 862.41961455571 1.62809048922705 0.356690476090342 4.56443498876794 5.00841369830474e-06 9.84706429775931e-06 2.34910323958735e-07 1.5412949265816
AAEL000119 230.463711056867 1.41364654537745 0.237863492104892 5.94310010698939 2.79681512898489e-09 6.77656846309594e-09 8.6223489927193e-11 1.37496719309269
AAEL000134 171.802473390084 2.39245727444746 0.209416592303412 11.4243921560005 3.15857912353075e-30 1.98448921421421e-29 1.40588719598525e-31 2.36567768839887
AAEL000138 3595.69712114955 2.55743441669712 0.166095137336371 15.3974069181681 1.70365366193794e-53 2.43586649164234e-52 5.81638518027501e-55 2.54129477476342
AAEL000139 28.3447367740356 3.07299878479937 0.563347963259938 5.45488576370594 4.90043391741614e-08 1.10413127237217e-07 7.47395717458014e-09 2.89610760239741
AAEL000163 276.983436933301 1.10082858616915 0.156947070476792 7.01401168448011 2.31580043362111e-12 6.67681543158746e-12 5.02107758506578e-14 1.08461350987218
AAEL000166 42.0176255427675 2.11665996915341 0.410932618237034 5.1508687196315 2.59282641128165e-07 5.57512340964092e-07 1.92144896076943e-08 2.00625330124473
AAEL000176 209.782008593633 1.82247117662775 0.169130180533676 10.7755527184864 4.49076785096119e-27 2.52585053896663e-26 1.59959387504559e-28 1.80334205230867
AAEL000179 2259.99335940904 1.57824840437081 0.225050581231526 7.01286082326158 2.33493696080784e-12 6.72723480775121e-12 7.66161688570064e-14 1.54402407980018
AAEL000180 577.872131688851 1.07769863203219 0.152513226383341 7.06626341589155 1.5916116046472e-12 4.63361903645981e-12 3.31250858528099e-14 1.06243784576956
AAEL000182 5470.89646057913 3.07417739369233 0.157387239384543 19.5325707834624 5.80426707308368e-85 1.97878620355073e-83 2.82251241855378e-86 3.06121345294873
